Timestamp,People_Crossing,People_In_Crosswalk_Now,Avg_People_Velocity_Crossing_pixels/sec,People_Waiting,People_In_Waiting_Now,Avg_People_Velocity_Waiting_pixels/sec,Vehicles,Avg_Vehicle_Velocity_pixels/sec,Queued_Vehicles,Label
57:32.4,3,3,42.07847222,3,3,42.07847222,5,60.4731713,0,red
57:32.6,3,3,42.67527922,3,3,42.67527922,5,39.3673264,0,red
57:32.8,3,3,50.30113486,3,3,50.30113486,5,45.96230745,0,red
57:33.0,3,3,73.74163033,3,3,73.74163033,5,33.75973098,0,red
57:33.3,2,2,81.4953811,2,2,81.4953811,5,50.2056251,0,red
57:33.5,2,2,81.87544644,2,2,81.87544644,5,56.23969229,0,red
57:33.7,2,2,59.48787289,2,2,59.48787289,5,57.70815262,0,red
57:33.9,2,2,59.9893619,2,2,59.9893619,5,55.8022488,0,red
57:34.1,2,2,60.8866423,2,2,60.8866423,6,68.12608233,0,red
57:34.3,2,2,66.18357006,2,2,66.18357006,6,61.65556998,0,red
57:34.6,2,2,51.7452908,2,2,51.7452908,6,49.2391583,0,red
57:34.8,2,2,45.23664152,2,2,45.23664152,4,27.92763425,0,red
57:35.0,2,2,61.96321841,2,2,61.96321841,4,29.68799221,0,red
57:35.2,2,2,71.66195689,2,2,71.66195689,4,52.35894556,0,red
57:35.4,2,2,80.60278885,2,2,80.60278885,5,46.69705229,0,red
57:35.6,2,2,95.71114319,2,2,95.71114319,5,70.0960797,0,red
57:35.8,2,2,86.00344995,2,2,86.00344995,5,71.01821547,0,red
57:36.1,2,2,97.31408083,2,2,97.31408083,5,46.5630314,0,red
57:36.3,2,2,107.7712148,2,2,107.7712148,5,40.21704385,0,red
57:36.5,2,2,112.0794216,2,2,112.0794216,5,57.66979656,0,red
57:36.7,2,2,71.56168667,2,2,71.56168667,5,65.56165787,0,red
57:36.9,2,2,50.17148023,2,2,50.17148023,5,77.04591932,0,red
57:37.1,2,2,60.21899237,2,2,60.21899237,5,49.17266869,0,red
